tourney_name,surface,match_num,winner_seed,winner_name,winner_ht,winner_ioc,winner_age,loser_seed,loser_name,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,year
Australian Open,Hard,8,15.0,Arnaud Clement,173.0,FRA,23.0800821355,,Tommy Robredo,180.0,ESP,18.7104722793,6-3 6-2 7-5,5,R128,104.0,3.0,1.0,82.0,56.0,42.0,14.0,14.0,2.0,4.0,2.0,4.0,84.0,46.0,28.0,18.0,15.0,6.0,12.0,2001
Australian Open,Hard,16,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,,Jens Knippschild,190.0,GER,25.916495551,6-1 6-4 6-2,5,R128,92.0,8.0,5.0,90.0,41.0,31.0,30.0,12.0,8.0,9.0,7.0,1.0,81.0,36.0,24.0,15.0,13.0,6.0,12.0,2001
Australian Open,Hard,24,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,,Ivan Ljubicic,193.0,CRO,21.8288843258,6-0 7-6(6) 6-4,5,R128,116.0,6.0,0.0,76.0,46.0,37.0,22.0,14.0,2.0,3.0,10.0,2.0,110.0,61.0,40.0,20.0,14.0,5.0,10.0,2001
Australian Open,Hard,29,,Carlos Moya,190.0,ESP,24.386036961,,Marcelo Rios,175.0,CHI,25.0568104038,6-3 6-3 6-2,5,R128,112.0,7.0,0.0,80.0,40.0,32.0,22.0,13.0,5.0,7.0,2.0,3.0,93.0,52.0,33.0,14.0,13.0,11.0,18.0,2001
Australian Open,Hard,33,6.0,Andre Agassi,180.0,USA,30.7159479808,,Jiri Vanek,185.0,CZE,22.7296372348,6-0 7-5 6-3,5,R128,100.0,7.0,1.0,82.0,60.0,45.0,13.0,14.0,4.0,5.0,12.0,5.0,110.0,58.0,35.0,20.0,13.0,13.0,20.0,2001
Australian Open,Hard,44,,Todd Martin,198.0,USA,30.5242984257,,Byron Black,175.0,ZIM,31.2772073922,7-5 6-4 6-3,5,R128,112.0,10.0,5.0,105.0,69.0,58.0,16.0,16.0,6.0,8.0,1.0,5.0,101.0,58.0,36.0,17.0,15.0,7.0,12.0,2001
Australian Open,Hard,56,12.0,Patrick Rafter,185.0,AUS,28.0492813142,,Scott Draper,178.0,AUS,26.6146475017,6-3 6-2 7-5,5,R128,88.0,8.0,3.0,78.0,58.0,50.0,12.0,14.0,3.0,3.0,12.0,2.0,79.0,47.0,34.0,16.0,15.0,3.0,7.0,2001
Australian Open,Hard,57,14.0,Dominik Hrbaty,183.0,SVK,23.0308008214,,Jean Rene Lisnard,173.0,MON,21.3086926762,3-6 3-6 6-4 6-1 6-1,5,R128,154.0,3.0,12.0,122.0,72.0,53.0,20.0,21.0,6.0,13.0,3.0,6.0,127.0,66.0,36.0,27.0,21.0,8.0,18.0,2001
Australian Open,Hard,68,15.0,Arnaud Clement,173.0,FRA,23.0800821355,,Alberto Martin,175.0,ESP,22.4065708419,6-2 6-1 6-1,5,R64,94.0,6.0,3.0,56.0,31.0,28.0,16.0,11.0,0.0,0.0,1.0,7.0,83.0,42.0,20.0,18.0,11.0,5.0,12.0,2001
Australian Open,Hard,72,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,,Nicolas Kiefer,183.0,GER,23.5318275154,6-2 3-6 3-6 6-3 6-0,5,R64,187.0,4.0,5.0,127.0,71.0,46.0,32.0,20.0,5.0,11.0,12.0,8.0,130.0,55.0,36.0,31.0,21.0,9.0,18.0,2001
Australian Open,Hard,76,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,,Jan Siemerink,183.0,NED,30.7570157426,6-3 6-0 6-4,5,R64,91.0,4.0,1.0,69.0,44.0,38.0,17.0,12.0,1.0,1.0,3.0,3.0,76.0,43.0,26.0,14.0,13.0,5.0,10.0,2001
Australian Open,Hard,79,,Carlos Moya,190.0,ESP,24.386036961,,Marc Rosset,201.0,SUI,30.1902806297,6-2 6-1 6-3,5,R64,90.0,6.0,1.0,61.0,36.0,31.0,19.0,12.0,1.0,1.0,7.0,12.0,95.0,47.0,33.0,15.0,12.0,11.0,17.0,2001
Australian Open,Hard,81,6.0,Andre Agassi,180.0,USA,30.7159479808,,Paul Goldstein,178.0,USA,24.4490075291,6-1 6-3 6-1,5,R64,77.0,3.0,2.0,55.0,40.0,29.0,8.0,12.0,1.0,4.0,4.0,2.0,78.0,60.0,24.0,6.0,11.0,9.0,19.0,2001
Australian Open,Hard,86,,Todd Martin,198.0,USA,30.5242984257,,Agustin Calleri,183.0,ARG,24.3367556468,1-6 7-6(5) 7-6(7) 4-6 6-2,5,R64,218.0,11.0,11.0,156.0,96.0,70.0,32.0,24.0,9.0,15.0,19.0,5.0,150.0,80.0,63.0,38.0,25.0,7.0,12.0,2001
Australian Open,Hard,92,12.0,Patrick Rafter,185.0,AUS,28.0492813142,,Nikolay Davydenko,178.0,RUS,19.6221765914,6-4 2-6 6-3 7-6(4),5,R64,160.0,15.0,7.0,122.0,81.0,61.0,21.0,19.0,4.0,7.0,2.0,3.0,126.0,86.0,55.0,25.0,20.0,5.0,8.0,2001
Australian Open,Hard,93,14.0,Dominik Hrbaty,183.0,SVK,23.0308008214,,Francisco Clavet,183.0,ESP,32.2272416153,6-3 6-4 6-2,5,R64,102.0,9.0,5.0,85.0,46.0,39.0,22.0,14.0,2.0,2.0,4.0,0.0,83.0,51.0,34.0,16.0,13.0,3.0,7.0,2001
Australian Open,Hard,98,15.0,Arnaud Clement,173.0,FRA,23.0800821355,,Roger Federer,185.0,SUI,19.4387405886,7-6(5) 6-4 6-4,5,R32,128.0,3.0,4.0,101.0,61.0,44.0,24.0,16.0,5.0,8.0,13.0,10.0,118.0,74.0,48.0,18.0,16.0,6.0,11.0,2001
Australian Open,Hard,100,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,,Chris Woodruff,188.0,USA,28.0355920602,6-7(3) 7-5 6-2 6-3,5,R32,158.0,10.0,11.0,127.0,61.0,55.0,33.0,20.0,3.0,5.0,14.0,5.0,127.0,81.0,55.0,20.0,21.0,4.0,10.0,2001
Australian Open,Hard,102,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,,Thomas Johansson,180.0,SWE,25.8151950719,6-4 6-1 6-4,5,R32,121.0,7.0,3.0,87.0,53.0,40.0,18.0,13.0,8.0,10.0,2.0,10.0,89.0,45.0,30.0,17.0,14.0,11.0,17.0,2001
Australian Open,Hard,104,,Carlos Moya,190.0,ESP,24.386036961,7.0,Lleyton Hewitt,180.0,AUS,19.8904859685,4-6 6-1 5-7 6-2 7-5,5,R32,228.0,16.0,2.0,146.0,94.0,68.0,27.0,25.0,8.0,12.0,13.0,6.0,158.0,82.0,56.0,41.0,24.0,6.0,13.0,2001
Australian Open,Hard,105,6.0,Andre Agassi,180.0,USA,30.7159479808,,David Prinosil,185.0,GER,27.8548939083,7-6(11) 5-0 RET,5,R32,68.0,8.0,2.0,54.0,40.0,29.0,9.0,9.0,2.0,3.0,2.0,3.0,71.0,44.0,25.0,11.0,8.0,4.0,8.0,2001
Australian Open,Hard,107,,Todd Martin,198.0,USA,30.5242984257,13.0,Cedric Pioline,188.0,FRA,31.5865845311,6-4 3-6 6-3 6-4,5,R32,162.0,16.0,7.0,107.0,68.0,55.0,20.0,19.0,4.0,7.0,14.0,6.0,131.0,71.0,47.0,29.0,19.0,7.0,12.0,2001
Australian Open,Hard,110,12.0,Patrick Rafter,185.0,AUS,28.0492813142,,Michel Kratochvil,185.0,SUI,21.7768651608,6-4 6-1 7-5,5,R32,115.0,11.0,5.0,89.0,54.0,41.0,22.0,14.0,2.0,3.0,3.0,5.0,87.0,55.0,34.0,13.0,15.0,4.0,9.0,2001
Australian Open,Hard,111,14.0,Dominik Hrbaty,183.0,SVK,23.0308008214,,Christophe Rochus,170.0,BEL,22.0862422998,6-4 6-4 6-2,5,R32,114.0,12.0,11.0,102.0,51.0,39.0,25.0,14.0,5.0,7.0,3.0,7.0,117.0,59.0,39.0,21.0,14.0,12.0,18.0,2001
Australian Open,Hard,113,15.0,Arnaud Clement,173.0,FRA,23.0800821355,,Greg Rusedski,193.0,GBR,27.3593429158,6-3 6-2 7-5,5,R16,112.0,1.0,1.0,85.0,62.0,46.0,14.0,14.0,4.0,5.0,19.0,5.0,109.0,59.0,44.0,17.0,15.0,10.0,15.0,2001
Australian Open,Hard,114,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,,Andreas Vinciguerra,180.0,SWE,19.9041752225,7-5 7-5 6-1,5,R16,106.0,7.0,3.0,84.0,53.0,41.0,18.0,15.0,1.0,4.0,4.0,6.0,108.0,51.0,34.0,23.0,16.0,10.0,17.0,2001
Australian Open,Hard,115,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,5.0,Magnus Norman,188.0,SWE,24.629705681,7-6(7) 6-3 0-6 6-4,5,R16,178.0,10.0,5.0,148.0,73.0,50.0,36.0,18.0,8.0,13.0,8.0,0.0,112.0,63.0,45.0,27.0,19.0,4.0,8.0,2001
Australian Open,Hard,116,,Carlos Moya,190.0,ESP,24.386036961,,Rainer Schuettler,180.0,GER,24.7255304586,7-6(2) 6-3 6-4,5,R16,118.0,10.0,0.0,90.0,50.0,42.0,26.0,15.0,0.0,1.0,6.0,4.0,86.0,54.0,42.0,14.0,16.0,2.0,5.0,2001
Australian Open,Hard,117,6.0,Andre Agassi,180.0,USA,30.7159479808,,Andrew Ilie,180.0,AUS,24.7446954141,6-7(1) 6-3 6-0 6-3,5,R16,135.0,5.0,2.0,102.0,77.0,57.0,13.0,18.0,4.0,6.0,6.0,6.0,141.0,88.0,55.0,21.0,18.0,18.0,26.0,2001
Australian Open,Hard,118,,Todd Martin,198.0,USA,30.5242984257,3.0,Pete Sampras,185.0,USA,29.4291581109,6-7(2) 6-3 6-4 6-4,5,R16,152.0,16.0,3.0,118.0,81.0,63.0,24.0,21.0,2.0,3.0,21.0,7.0,123.0,76.0,63.0,18.0,20.0,3.0,7.0,2001
Australian Open,Hard,119,12.0,Patrick Rafter,185.0,AUS,28.0492813142,8.0,Tim Henman,185.0,GBR,26.3600273785,6-2 6-3 6-3,5,R16,127.0,7.0,2.0,84.0,57.0,45.0,13.0,13.0,2.0,2.0,4.0,8.0,97.0,54.0,35.0,18.0,13.0,5.0,10.0,2001
Australian Open,Hard,120,14.0,Dominik Hrbaty,183.0,SVK,23.0308008214,2.0,Marat Safin,193.0,RUS,20.9691991786,6-2 7-6(6) 6-4,5,R16,123.0,7.0,0.0,86.0,42.0,32.0,30.0,15.0,1.0,3.0,11.0,4.0,116.0,60.0,44.0,21.0,15.0,8.0,13.0,2001
Australian Open,Hard,121,15.0,Arnaud Clement,173.0,FRA,23.0800821355,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,6-4 5-7 7-6(3) 7-6(3),5,QF,191.0,12.0,4.0,167.0,93.0,64.0,37.0,23.0,8.0,13.0,23.0,5.0,145.0,87.0,60.0,29.0,23.0,10.0,15.0,2001
Australian Open,Hard,122,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,,Carlos Moya,190.0,ESP,24.386036961,6-1 6-4 6-2,5,QF,98.0,3.0,1.0,77.0,48.0,39.0,17.0,13.0,0.0,0.0,3.0,2.0,68.0,42.0,26.0,13.0,12.0,5.0,10.0,2001
Australian Open,Hard,123,6.0,Andre Agassi,180.0,USA,30.7159479808,,Todd Martin,198.0,USA,30.5242984257,7-5 6-3 6-4,5,QF,118.0,6.0,0.0,82.0,55.0,48.0,11.0,16.0,4.0,6.0,14.0,5.0,103.0,67.0,37.0,18.0,15.0,7.0,13.0,2001
Australian Open,Hard,124,12.0,Patrick Rafter,185.0,AUS,28.0492813142,14.0,Dominik Hrbaty,183.0,SVK,23.0308008214,6-2 6-7(4) 7-5 6-0,5,QF,151.0,11.0,6.0,118.0,66.0,58.0,22.0,19.0,2.0,4.0,7.0,7.0,127.0,67.0,43.0,30.0,19.0,6.0,14.0,2001
Australian Open,Hard,125,15.0,Arnaud Clement,173.0,FRA,23.0800821355,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,5-7 2-6 7-6(4) 7-5 6-2,5,SF,248.0,8.0,5.0,194.0,109.0,71.0,47.0,26.0,14.0,20.0,20.0,5.0,156.0,79.0,61.0,39.0,26.0,6.0,12.0,2001
Australian Open,Hard,126,6.0,Andre Agassi,180.0,USA,30.7159479808,12.0,Patrick Rafter,185.0,AUS,28.0492813142,7-5 2-6 6-7(5) 6-2 6-3,5,SF,187.0,10.0,3.0,148.0,106.0,83.0,26.0,25.0,2.0,4.0,22.0,6.0,153.0,96.0,79.0,22.0,24.0,7.0,11.0,2001
Australian Open,Hard,127,6.0,Andre Agassi,180.0,USA,30.7159479808,15.0,Arnaud Clement,173.0,FRA,23.0800821355,6-4 6-2 6-2,5,F,106.0,7.0,1.0,81.0,53.0,38.0,13.0,13.0,4.0,6.0,5.0,7.0,90.0,47.0,28.0,19.0,13.0,8.0,15.0,2001
Indian Wells Masters,Hard,4,,Jan Michael Gambill,190.0,USA,23.7727583847,14.0,Dominik Hrbaty,183.0,SVK,23.1841204654,6-4 6-3,3,R64,73.0,14.0,1.0,60.0,35.0,30.0,13.0,10.0,2.0,2.0,6.0,7.0,64.0,36.0,29.0,10.0,9.0,3.0,5.0,2001
Indian Wells Masters,Hard,8,7.0,Yevgeny Kafelnikov,190.0,RUS,27.06091718,,Marcelo Rios,175.0,CHI,25.2101300479,6-4 7-5,3,R64,78.0,7.0,5.0,76.0,36.0,29.0,18.0,11.0,6.0,8.0,7.0,6.0,64.0,41.0,29.0,8.0,11.0,5.0,9.0,2001
Indian Wells Masters,Hard,9,3.0,Pete Sampras,185.0,USA,29.582477755,,David Prinosil,185.0,GER,28.0082135524,6-4 6-4,3,R64,71.0,17.0,5.0,65.0,43.0,33.0,12.0,10.0,1.0,1.0,9.0,2.0,53.0,27.0,21.0,15.0,10.0,0.0,2.0,2001
Indian Wells Masters,Hard,13,11.0,Patrick Rafter,185.0,AUS,28.2026009582,,Greg Rusedski,193.0,GBR,27.5126625599,6-3 6-2,3,R64,53.0,3.0,2.0,47.0,30.0,24.0,13.0,9.0,1.0,1.0,6.0,4.0,40.0,26.0,19.0,7.0,8.0,0.0,3.0,2001
Indian Wells Masters,Hard,17,,Nicolas Lapentti,188.0,ECU,24.5776865161,5.0,Magnus Norman,188.0,SWE,24.7830253251,4-6 6-1 6-1,3,R64,103.0,4.0,1.0,64.0,33.0,25.0,17.0,12.0,2.0,5.0,4.0,1.0,80.0,51.0,28.0,11.0,12.0,6.0,13.0,2001
Indian Wells Masters,Hard,24,4.0,Andre Agassi,180.0,USA,30.8692676249,,Hicham Arazi,175.0,MAR,27.394934976,6-3 6-2,3,R64,62.0,5.0,1.0,54.0,32.0,24.0,9.0,9.0,4.0,6.0,0.0,2.0,42.0,19.0,8.0,10.0,8.0,2.0,7.0,2001
Indian Wells Masters,Hard,25,6.0,Lleyton Hewitt,180.0,AUS,20.0438056126,,Albert Costa,180.0,ESP,25.7138945927,6-2 5-7 6-1,3,R64,128.0,8.0,5.0,66.0,31.0,28.0,18.0,13.0,4.0,7.0,2.0,2.0,82.0,54.0,26.0,16.0,14.0,5.0,12.0,2001
Indian Wells Masters,Hard,31,,Nicolas Escude,185.0,FRA,24.93908282,,Andreas Vinciguerra,180.0,SWE,20.0574948665,7-6(7) 7-5,3,R64,124.0,4.0,5.0,86.0,43.0,27.0,26.0,12.0,3.0,5.0,5.0,1.0,89.0,50.0,30.0,21.0,12.0,3.0,6.0,2001
Indian Wells Masters,Hard,34,,Jan Michael Gambill,190.0,USA,23.7727583847,,Fernando Vicente,180.0,ESP,24.0109514031,6-3 6-2,3,R32,67.0,7.0,3.0,60.0,32.0,25.0,17.0,9.0,2.0,2.0,2.0,1.0,52.0,36.0,23.0,7.0,8.0,2.0,5.0,2001
Indian Wells Masters,Hard,36,7.0,Yevgeny Kafelnikov,190.0,RUS,27.06091718,,Francisco Clavet,183.0,ESP,32.3805612594,6-3 7-6(6),3,R32,83.0,5.0,6.0,79.0,37.0,29.0,24.0,11.0,4.0,5.0,2.0,1.0,53.0,31.0,21.0,18.0,10.0,2.0,4.0,2001
Indian Wells Masters,Hard,37,3.0,Pete Sampras,185.0,USA,29.582477755,,Fabrice Santoro,178.0,FRA,28.2546201232,6-3 3-6 6-0,3,R32,99.0,7.0,9.0,75.0,36.0,30.0,20.0,12.0,1.0,2.0,0.0,1.0,83.0,41.0,26.0,21.0,12.0,3.0,7.0,2001
Indian Wells Masters,Hard,39,11.0,Patrick Rafter,185.0,AUS,28.2026009582,,Arnaud Di Pasquale,185.0,FRA,22.0807665982,6-2 6-2,3,R32,63.0,6.0,1.0,46.0,29.0,25.0,10.0,8.0,1.0,1.0,1.0,6.0,57.0,35.0,22.0,7.0,8.0,3.0,7.0,2001
Indian Wells Masters,Hard,41,,Nicolas Lapentti,188.0,ECU,24.5776865161,,Jonas Bjorkman,183.0,SWE,28.9691991786,6-3 6-2,3,R32,75.0,2.0,2.0,62.0,38.0,30.0,13.0,9.0,4.0,4.0,0.0,0.0,44.0,23.0,13.0,14.0,8.0,2.0,5.0,2001
Indian Wells Masters,Hard,44,4.0,Andre Agassi,180.0,USA,30.8692676249,,Tommy Haas,188.0,GER,22.9404517454,7-6(5) 6-3,3,R32,89.0,3.0,3.0,73.0,44.0,30.0,17.0,11.0,3.0,5.0,3.0,2.0,62.0,34.0,23.0,14.0,10.0,0.0,3.0,2001
Indian Wells Masters,Hard,45,6.0,Lleyton Hewitt,180.0,AUS,20.0438056126,,Paradorn Srichaphan,185.0,THA,21.7440109514,6-3 6-3,3,R32,77.0,3.0,6.0,62.0,34.0,26.0,16.0,9.0,0.0,0.0,3.0,9.0,67.0,42.0,30.0,8.0,9.0,3.0,6.0,2001
Indian Wells Masters,Hard,48,,Nicolas Escude,185.0,FRA,24.93908282,,Thomas Johansson,180.0,SWE,25.9685147159,6-1 6-7(5) 7-5,3,R32,142.0,12.0,4.0,97.0,40.0,33.0,24.0,16.0,1.0,5.0,9.0,4.0,94.0,40.0,29.0,21.0,15.0,7.0,14.0,2001
Indian Wells Masters,Hard,49,,Jan Michael Gambill,190.0,USA,23.7727583847,1.0,Gustavo Kuerten,190.0,BRA,24.501026694,7-6(5) 6-4,3,R16,96.0,10.0,3.0,75.0,44.0,34.0,16.0,11.0,1.0,2.0,9.0,2.0,74.0,45.0,33.0,15.0,11.0,4.0,6.0,2001
Indian Wells Masters,Hard,50,7.0,Yevgeny Kafelnikov,190.0,RUS,27.06091718,,Goran Ivanisevic,193.0,CRO,29.4948665298,5-7 6-2 6-3,3,R16,102.0,6.0,3.0,77.0,39.0,32.0,24.0,14.0,1.0,2.0,18.0,7.0,104.0,57.0,43.0,19.0,15.0,6.0,10.0,2001
Indian Wells Masters,Hard,51,3.0,Pete Sampras,185.0,USA,29.582477755,16.0,Sebastien Grosjean,175.0,FRA,22.7871321013,6-1 7-6(7),3,R16,80.0,5.0,5.0,61.0,33.0,27.0,16.0,10.0,2.0,4.0,2.0,3.0,72.0,47.0,28.0,11.0,9.0,4.0,8.0,2001
Indian Wells Masters,Hard,52,11.0,Patrick Rafter,185.0,AUS,28.2026009582,8.0,Alex Corretja,180.0,ESP,26.9185489391,4-6 6-3 6-4,3,R16,122.0,7.0,0.0,88.0,69.0,49.0,11.0,15.0,5.0,7.0,4.0,1.0,82.0,44.0,29.0,24.0,14.0,5.0,8.0,2001
Indian Wells Masters,Hard,53,,Nicolas Lapentti,188.0,ECU,24.5776865161,10.0,Tim Henman,185.0,GBR,26.5133470226,6-4 6-4,3,R16,106.0,3.0,2.0,71.0,40.0,30.0,15.0,10.0,6.0,7.0,4.0,2.0,68.0,42.0,31.0,9.0,10.0,3.0,6.0,2001
Indian Wells Masters,Hard,54,4.0,Andre Agassi,180.0,USA,30.8692676249,,Nicolas Kiefer,183.0,GER,23.6851471595,6-4 5-7 6-4,3,R16,135.0,3.0,4.0,87.0,52.0,39.0,21.0,16.0,2.0,4.0,8.0,5.0,97.0,39.0,30.0,32.0,16.0,8.0,11.0,2001
Indian Wells Masters,Hard,55,6.0,Lleyton Hewitt,180.0,AUS,20.0438056126,,Bohdan Ulihrach,188.0,CZE,26.0479123888,6-2 6-4,3,R16,68.0,10.0,0.0,43.0,24.0,21.0,15.0,9.0,0.0,0.0,3.0,2.0,62.0,35.0,24.0,11.0,9.0,4.0,7.0,2001
Indian Wells Masters,Hard,56,,Nicolas Escude,185.0,FRA,24.93908282,13.0,Arnaud Clement,173.0,FRA,23.2334017796,6-1 6-2,3,R16,62.0,6.0,0.0,32.0,17.0,14.0,14.0,7.0,0.0,0.0,3.0,5.0,56.0,30.0,18.0,7.0,8.0,6.0,11.0,2001
Indian Wells Masters,Hard,57,7.0,Yevgeny Kafelnikov,190.0,RUS,27.06091718,,Jan Michael Gambill,190.0,USA,23.7727583847,6-4 6-3,3,QF,80.0,9.0,2.0,62.0,36.0,28.0,16.0,9.0,3.0,3.0,10.0,5.0,60.0,34.0,28.0,10.0,10.0,2.0,5.0,2001
Indian Wells Masters,Hard,58,3.0,Pete Sampras,185.0,USA,29.582477755,11.0,Patrick Rafter,185.0,AUS,28.2026009582,4-6 7-6(4) 6-4,3,QF,132.0,8.0,0.0,86.0,49.0,42.0,26.0,16.0,1.0,2.0,9.0,0.0,110.0,69.0,48.0,25.0,16.0,2.0,3.0,2001
Indian Wells Masters,Hard,59,4.0,Andre Agassi,180.0,USA,30.8692676249,,Nicolas Lapentti,188.0,ECU,24.5776865161,6-1 6-2,3,QF,59.0,0.0,1.0,39.0,24.0,18.0,8.0,7.0,1.0,2.0,3.0,5.0,47.0,19.0,9.0,9.0,8.0,3.0,9.0,2001
Indian Wells Masters,Hard,60,6.0,Lleyton Hewitt,180.0,AUS,20.0438056126,,Nicolas Escude,185.0,FRA,24.93908282,6-1 6-3,3,QF,75.0,4.0,4.0,45.0,24.0,18.0,9.0,8.0,0.0,2.0,3.0,2.0,55.0,29.0,15.0,8.0,8.0,3.0,9.0,2001
Indian Wells Masters,Hard,61,3.0,Pete Sampras,185.0,USA,29.582477755,7.0,Yevgeny Kafelnikov,190.0,RUS,27.06091718,7-5 6-4,3,SF,76.0,10.0,4.0,61.0,37.0,27.0,8.0,11.0,1.0,4.0,2.0,2.0,61.0,34.0,23.0,9.0,11.0,2.0,7.0,2001
Indian Wells Masters,Hard,62,4.0,Andre Agassi,180.0,USA,30.8692676249,6.0,Lleyton Hewitt,180.0,AUS,20.0438056126,6-4 3-6 6-4,3,SF,111.0,3.0,4.0,81.0,55.0,36.0,13.0,14.0,5.0,9.0,2.0,5.0,78.0,35.0,28.0,17.0,15.0,1.0,6.0,2001
Indian Wells Masters,Hard,63,4.0,Andre Agassi,180.0,USA,30.8692676249,3.0,Pete Sampras,185.0,USA,29.582477755,7-6(5) 7-5 6-1,5,F,131.0,4.0,1.0,106.0,83.0,58.0,16.0,16.0,4.0,4.0,14.0,11.0,94.0,48.0,39.0,19.0,15.0,7.0,10.0,2001
Miami Masters,Hard,15,,Ivan Ljubicic,193.0,CRO,22.0013689254,,Agustin Calleri,183.0,ARG,24.5092402464,6-2 7-6(5),3,R128,110.0,5.0,3.0,82.0,51.0,36.0,17.0,10.0,4.0,5.0,2.0,2.0,97.0,46.0,32.0,22.0,10.0,7.0,10.0,2001
Miami Masters,Hard,23,,Andy Roddick,188.0,USA,18.5516769336,,Harel Levy,185.0,ISR,22.6201232033,6-3 6-2,3,R128,52.0,4.0,1.0,48.0,22.0,20.0,18.0,9.0,0.0,0.0,2.0,3.0,43.0,22.0,14.0,12.0,8.0,4.0,7.0,2001
Miami Masters,Hard,35,24.0,Roger Federer,185.0,SUI,19.6112251882,,Younes El Aynaoui,193.0,MAR,29.5167693361,6-2 6-2,3,R64,56.0,3.0,2.0,48.0,29.0,23.0,12.0,8.0,1.0,1.0,3.0,3.0,45.0,22.0,13.0,9.0,8.0,0.0,4.0,2001
Miami Masters,Hard,40,8.0,Patrick Rafter,185.0,AUS,28.2217659138,,Bob Bryan,193.0,USA,22.8884325804,6-2 6-1,3,R64,48.0,6.0,1.0,41.0,23.0,20.0,12.0,8.0,0.0,0.0,1.0,2.0,38.0,20.0,8.0,10.0,7.0,0.0,4.0,2001
Miami Masters,Hard,41,3.0,Andre Agassi,180.0,USA,30.8884325804,,Taylor Dent,188.0,USA,19.9014373717,6-4 6-2,3,R64,69.0,3.0,2.0,59.0,41.0,28.0,11.0,9.0,2.0,3.0,7.0,4.0,66.0,40.0,28.0,7.0,9.0,6.0,10.0,2001
Miami Masters,Hard,47,,Ivan Ljubicic,193.0,CRO,22.0013689254,27.0,Vladimir Voltchkov,180.0,BLR,22.9486652977,7-6(5) 7-6(4),3,R64,107.0,11.0,2.0,82.0,61.0,46.0,14.0,12.0,4.0,4.0,8.0,3.0,75.0,39.0,33.0,20.0,12.0,0.0,0.0,2001
Miami Masters,Hard,49,7.0,Lleyton Hewitt,180.0,AUS,20.0629705681,,Jacobo Diaz,173.0,ESP,24.6872005476,6-3 6-3,3,R64,90.0,6.0,3.0,68.0,33.0,23.0,21.0,9.0,5.0,6.0,5.0,5.0,63.0,34.0,21.0,12.0,9.0,7.0,11.0,2001
Miami Masters,Hard,55,,Andy Roddick,188.0,USA,18.5516769336,26.0,Marcelo Rios,175.0,CHI,25.2292950034,6-4 6-1,3,R64,52.0,6.0,1.0,45.0,25.0,21.0,13.0,9.0,1.0,2.0,3.0,5.0,50.0,24.0,16.0,8.0,8.0,3.0,7.0,2001
Miami Masters,Hard,58,31.0,Gaston Gaudio,175.0,ARG,22.2751540041,,Jan Siemerink,183.0,NED,30.9295003422,7-6(5) 6-2,3,R64,89.0,2.0,2.0,70.0,44.0,34.0,12.0,10.0,4.0,5.0,5.0,2.0,66.0,31.0,24.0,18.0,10.0,2.0,5.0,2001
Miami Masters,Hard,62,19.0,Jan Michael Gambill,190.0,USA,23.7919233402,,Andrew Ilie,180.0,AUS,24.9171800137,6-7(7) 7-6(6) 6-3,3,R64,148.0,8.0,2.0,39.0,18.0,16.0,9.0,6.0,1.0,2.0,3.0,2.0,41.0,21.0,18.0,9.0,6.0,0.0,1.0,2001
Miami Masters,Hard,66,24.0,Roger Federer,185.0,SUI,19.6112251882,16.0,Mark Philippoussis,196.0,AUS,24.3613963039,3-6 7-6(4) 6-2,3,R32,112.0,9.0,4.0,85.0,46.0,34.0,22.0,14.0,4.0,7.0,10.0,3.0,101.0,57.0,43.0,14.0,15.0,6.0,10.0,2001
Miami Masters,Hard,68,8.0,Patrick Rafter,185.0,AUS,28.2217659138,29.0,Francisco Clavet,183.0,ESP,32.3997262149,6-3 3-6 6-3,3,R32,103.0,15.0,3.0,84.0,60.0,48.0,11.0,14.0,1.0,2.0,0.0,2.0,75.0,55.0,36.0,12.0,13.0,2.0,4.0,2001
Miami Masters,Hard,69,3.0,Andre Agassi,180.0,USA,30.8884325804,30.0,David Prinosil,185.0,GER,28.0273785079,6-1 6-3,3,R32,55.0,3.0,4.0,47.0,24.0,21.0,12.0,8.0,1.0,2.0,2.0,3.0,49.0,24.0,16.0,7.0,8.0,2.0,7.0,2001
Miami Masters,Hard,72,,Ivan Ljubicic,193.0,CRO,22.0013689254,6.0,Magnus Norman,188.0,SWE,24.8021902806,7-6(5) 6-2,3,R32,91.0,12.0,1.0,73.0,40.0,34.0,19.0,10.0,1.0,1.0,3.0,0.0,61.0,38.0,25.0,15.0,10.0,0.0,2.0,2001
