group,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,w_1stRcvWin%,w_2ndRcvWin%,points_percentage,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%,bpSaved%_difference
Other Winners,11.06,5.12,129.28,81.44,62.18,25.42,5.94,8.0,133.22,62.42,77.32,53.61,20.0,32.17,50.21,53.83,-0.53,9.49,3.82,52.23,42.16,20.51
Roger Federer,19.0,2.25,124.88,82.62,64.75,25.62,3.5,5.38,140.88,66.31,78.95,61.95,21.12,28.43,55.75,54.26,-0.16,7.38,17.7,62.47,30.64,5.63
