group,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,w_1stRcvWin%,w_2ndRcvWin%,points_percentage,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%,bpSaved%_difference
Novak Djokovic,8.25,2.0,118.38,73.62,53.25,27.38,3.62,6.25,134.88,63.02,72.92,62.18,19.38,33.61,56.37,54.79,-0.84,6.53,18.55,48.29,29.33,4.78
Other Winners,12.86,2.5,113.94,68.47,51.58,24.22,5.44,8.42,127.7,60.03,76.78,54.62,18.42,34.06,53.78,54.32,1.47,10.84,8.4,62.15,34.24,-5.95
