,tourney_name,year,player_tier,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,total_points,l_total_points,return_points_won%,ace%,1stSvWin%,1stSvWin%_difference,2ndSvWin%,2ndSvWin%_difference,bpSaved%_difference,points_percentage,bpFaced%
98,Cincinnati Masters,2011,champion,6.0,2.8,56.4,31.4,24.0,11.6,2.8,4.8,1.8,3.4,66.8,37.6,20.6,12.2,7.2,11.8,69.6,53.6,51.57,76.92,76.43,21.64,46.4,4.62,-2.69,56.49,28.92
99,Cincinnati Masters,2011,top2-8,7.0,1.89,66.42,39.89,30.79,14.47,2.11,3.26,4.47,3.16,74.42,45.26,29.84,12.53,4.58,8.37,77.32,63.53,44.47,61.03,77.19,11.26,54.54,11.57,10.0,54.9,28.03
100,Cincinnati Masters,2012,champion,7.4,1.8,56.4,34.0,28.4,14.4,0.6,0.6,5.2,2.2,67.2,41.8,27.2,13.0,3.0,5.6,69.8,53.8,40.76,58.73,83.53,18.46,64.29,13.11,46.43,56.47,9.68
101,Cincinnati Masters,2012,top2-8,8.13,2.13,64.91,36.87,28.83,15.83,3.04,4.09,4.52,3.96,68.39,38.0,25.22,13.96,4.78,8.09,73.87,59.43,43.81,64.27,78.19,11.82,56.46,10.52,15.24,55.42,33.58
102,Cincinnati Masters,2013,champion,4.6,2.4,76.0,53.6,41.4,13.4,2.8,3.6,7.0,2.2,84.6,52.8,38.2,15.0,4.4,7.0,86.2,74.4,37.59,39.66,77.24,4.89,59.82,12.65,14.92,53.67,33.96
103,Cincinnati Masters,2013,top2-8,8.9,2.05,66.9,41.8,32.6,14.35,1.75,2.85,5.25,3.75,75.4,43.55,29.0,15.55,5.05,8.2,77.8,64.5,42.57,62.9,77.99,11.4,57.17,8.35,-0.19,54.67,25.79
104,Cincinnati Masters,2014,champion,4.2,2.0,72.8,46.2,35.0,15.2,3.6,5.2,6.0,5.0,81.6,43.2,30.0,17.8,6.0,9.4,84.0,70.4,41.85,41.18,75.76,6.32,57.14,10.79,5.4,54.4,35.62
105,Cincinnati Masters,2014,top2-8,7.05,3.43,72.24,44.24,34.71,14.86,2.9,4.19,5.86,2.52,77.81,46.86,31.33,14.19,4.38,8.1,81.86,68.19,43.21,54.61,78.46,11.6,53.07,7.22,15.14,54.56,34.09
106,Cincinnati Masters,2015,champion,5.8,1.6,52.6,30.0,25.2,16.2,0.6,0.6,6.6,1.6,67.6,41.8,28.0,12.6,5.0,7.2,68.4,51.8,40.67,46.77,84.0,17.01,71.68,22.84,30.56,56.91,7.69
107,Cincinnati Masters,2015,top2-8,7.0,2.85,75.1,44.05,33.05,17.3,3.1,4.65,6.45,3.8,74.55,41.25,28.85,15.45,3.8,7.2,80.6,69.05,42.31,52.04,75.03,5.09,55.72,9.32,13.89,53.86,39.24
108,Cincinnati Masters,2016,champion,9.17,2.0,56.67,30.5,26.0,15.33,1.0,2.0,5.67,2.5,62.17,38.33,26.5,11.83,3.83,6.83,65.17,53.67,39.57,61.79,85.25,16.11,58.58,8.96,-6.08,54.84,22.65
109,Cincinnati Masters,2016,top2-8,8.76,2.81,69.33,41.67,33.19,16.0,2.24,3.14,7.19,3.33,70.05,41.48,30.1,13.0,3.0,5.62,76.14,63.24,39.52,54.92,79.65,7.08,57.85,12.35,17.96,54.63,35.84
110,Cincinnati Masters,2017,champion,8.4,2.6,65.4,42.4,35.0,14.4,2.2,2.4,8.6,2.0,65.2,40.4,29.6,12.6,3.4,5.4,72.4,58.2,37.15,49.41,82.55,9.28,62.61,11.8,28.71,55.44,30.77
111,Cincinnati Masters,2017,top2-8,9.52,3.91,70.43,42.43,33.96,15.65,3.0,4.13,6.04,4.04,75.26,41.57,29.3,15.96,4.43,7.35,79.61,66.09,39.76,61.18,80.04,9.56,55.89,8.52,12.37,54.64,35.98
112,Cincinnati Masters,2018,champion,5.5,2.33,82.33,50.83,36.33,16.67,3.83,6.17,10.33,4.5,87.83,54.5,36.67,14.67,5.17,8.83,89.5,80.67,41.73,34.74,71.47,4.19,52.92,8.91,3.52,52.59,41.13
113,Cincinnati Masters,2018,top2-8,7.82,2.82,67.95,42.91,34.27,14.82,2.09,3.0,6.5,3.73,76.59,44.82,31.64,15.36,4.36,7.14,78.68,65.86,39.06,54.61,79.86,9.27,59.19,10.84,8.61,54.43,29.59
114,Cincinnati Masters,2019,champion,9.5,2.17,57.5,35.5,27.33,13.33,1.0,2.0,4.17,2.67,63.33,36.17,24.67,10.83,3.0,6.67,68.5,52.33,44.74,69.5,76.99,8.78,60.59,20.72,5.02,56.69,23.07
115,Cincinnati Masters,2019,top2-8,5.83,2.74,72.52,44.39,33.3,16.04,3.13,4.22,5.83,2.74,69.17,41.17,29.04,12.87,3.3,6.3,76.61,65.09,39.59,50.0,75.02,4.48,57.02,11.06,21.79,54.06,40.11
116,Cincinnati Masters,2020,champion,6.2,5.2,69.2,39.2,28.8,15.2,3.2,5.8,4.8,4.4,74.0,43.8,29.6,11.0,4.6,8.8,77.4,65.8,45.82,56.36,73.47,5.89,50.67,14.25,2.9,54.05,39.73
117,Cincinnati Masters,2020,top2-8,10.18,3.09,65.45,39.27,31.59,14.09,3.05,4.05,4.82,2.95,66.32,38.95,27.27,13.05,3.27,6.14,71.68,60.09,39.66,67.87,80.44,10.43,53.82,6.14,22.05,54.4,39.74
118,Hamburg Masters,2001,champion,2.67,3.67,90.5,51.67,35.17,20.17,5.33,8.83,5.0,4.33,95.33,51.17,33.0,18.83,8.0,13.33,98.83,87.0,47.22,34.81,68.07,3.58,51.94,9.3,0.34,53.18,39.85
119,Hamburg Masters,2001,top2-8,2.04,1.72,63.72,40.2,28.28,12.32,3.68,5.6,2.12,1.84,66.52,38.36,22.52,11.16,4.72,9.48,73.44,56.8,50.17,49.04,70.35,11.64,52.38,12.75,15.92,56.39,37.14
120,Hamburg Masters,2002,champion,4.83,1.83,63.5,37.33,26.5,13.83,5.17,7.0,3.0,2.5,74.83,44.83,25.5,12.5,6.17,11.5,77.17,61.17,49.33,61.69,70.99,14.11,52.85,11.18,20.21,55.78,37.84
121,Hamburg Masters,2002,top2-8,4.92,2.4,69.04,42.32,30.28,15.12,3.4,5.12,2.64,3.16,68.96,40.92,27.04,12.72,4.08,7.8,74.6,63.4,42.75,65.08,71.55,5.47,56.59,11.23,14.1,54.06,39.63
122,Hamburg Masters,2003,champion,1.0,1.17,64.67,43.33,28.17,14.17,2.83,4.5,1.67,2.0,64.67,38.0,22.33,10.17,5.5,10.67,74.5,54.83,50.72,37.45,65.01,6.25,66.4,28.27,11.34,57.6,29.66
123,Hamburg Masters,2003,top2-8,4.6,2.28,71.04,42.16,30.44,15.48,3.88,5.84,3.6,3.52,74.76,44.72,27.24,13.28,5.12,9.68,80.16,65.64,46.95,56.1,72.2,11.29,53.6,9.39,13.55,54.98,37.63
124,Hamburg Masters,2004,champion,4.5,0.67,68.0,41.83,32.33,15.67,2.33,3.67,1.83,2.17,66.83,43.5,27.5,10.33,4.17,8.33,77.0,57.83,43.52,71.09,77.29,14.07,59.88,15.6,13.43,57.11,30.58
125,Hamburg Masters,2004,top2-8,3.52,1.56,72.68,42.96,30.6,16.4,3.72,5.68,2.48,2.84,75.16,45.8,28.36,13.12,4.92,9.28,80.68,67.16,45.72,58.67,71.23,9.31,55.18,10.49,12.47,54.57,37.97
126,Hamburg Masters,2005,champion,3.5,1.5,64.17,38.67,29.17,16.33,2.5,3.17,1.0,2.0,58.83,37.17,23.83,10.83,2.0,5.17,69.67,53.33,43.08,77.78,75.43,11.32,64.04,14.04,40.18,56.64,38.01
127,Hamburg Masters,2005,top2-8,1.2,1.12,64.92,41.2,28.32,12.68,4.08,6.16,1.84,1.64,66.04,39.44,22.44,10.92,5.04,10.04,73.68,57.28,50.92,39.47,68.74,11.84,53.46,12.41,16.03,56.26,38.02
128,Hamburg Masters,2006,champion,1.5,0.67,73.17,56.5,38.67,9.17,5.0,6.17,2.0,1.67,72.67,48.17,28.0,11.67,3.33,7.17,80.83,65.0,45.55,42.86,68.44,10.31,55.01,7.38,34.6,55.43,46.25
129,Hamburg Masters,2006,top2-8,3.88,1.8,65.76,41.68,29.72,13.72,3.8,5.36,2.16,2.32,65.2,40.2,24.36,11.4,3.96,8.0,72.88,58.08,46.71,64.24,71.31,10.71,56.98,11.38,21.4,55.65,40.12
130,Hamburg Masters,2007,champion,6.0,1.8,79.8,45.4,33.0,18.2,4.8,7.2,1.2,2.8,77.2,55.2,31.4,11.2,5.4,9.8,85.8,71.2,44.33,83.33,72.69,15.81,52.91,2.0,11.57,54.65,42.35
131,Hamburg Masters,2007,top2-8,3.27,1.68,74.55,48.23,33.27,14.55,4.14,6.23,2.5,2.23,75.95,45.82,29.95,13.36,4.59,8.68,80.45,70.05,43.64,56.67,68.98,3.62,55.28,10.94,13.57,53.46,41.78
132,Hamburg Masters,2008,champion,1.8,1.4,74.0,57.4,37.4,8.2,4.4,6.8,2.6,0.6,81.8,54.0,32.4,10.8,5.2,10.0,84.2,71.6,47.95,40.91,65.16,5.16,49.4,10.55,12.71,54.04,40.48
133,Hamburg Masters,2008,top2-8,3.83,1.74,62.91,39.52,28.48,13.39,3.0,4.26,2.65,2.26,65.61,38.96,23.65,10.83,4.35,8.65,73.0,55.52,48.48,59.1,72.06,11.36,57.25,16.61,20.13,56.8,33.0
134,Indian Wells Masters,2001,champion,3.0,2.33,73.33,48.33,34.17,14.0,3.17,5.0,5.0,5.0,70.0,32.33,22.83,16.83,3.5,7.67,78.5,64.83,45.98,37.5,70.7,0.08,56.0,11.32,17.77,54.77,39.46
135,Indian Wells Masters,2001,top2-8,7.08,3.12,65.84,36.36,28.64,16.44,2.08,3.24,4.92,3.04,69.04,39.96,26.64,13.28,3.4,7.12,74.2,60.68,42.15,59.0,78.77,12.1,55.77,10.1,16.45,55.01,31.27
136,Indian Wells Masters,2002,champion,5.5,3.33,53.83,31.17,24.0,13.5,1.83,3.0,4.83,1.83,65.17,38.67,22.83,12.0,5.0,9.33,67.83,51.17,46.94,53.24,77.0,17.96,59.58,14.3,7.41,57.0,24.33
137,Indian Wells Masters,2002,top2-8,4.48,2.48,67.8,40.2,30.12,15.32,3.52,5.0,4.24,3.24,70.08,40.64,26.12,14.12,3.88,7.4,75.28,62.6,43.04,51.38,74.93,10.66,55.51,7.55,17.97,54.6,40.32
138,Indian Wells Masters,2003,champion,6.83,1.5,68.17,37.83,29.33,16.83,2.67,4.0,2.0,2.5,71.5,42.33,26.17,14.0,5.83,10.0,77.5,62.17,45.22,77.35,77.53,15.71,55.47,7.48,8.45,55.49,28.57
139,Indian Wells Masters,2003,top2-8,5.54,3.0,70.33,41.88,30.92,15.21,2.83,4.67,3.92,3.25,67.33,37.96,25.29,13.0,3.5,7.42,75.17,62.5,43.82,58.56,73.83,7.21,53.46,9.2,13.43,54.6,38.63
140,Indian Wells Masters,2004,champion,6.17,2.17,56.0,33.5,26.67,13.67,1.83,2.17,2.17,3.17,60.67,35.83,23.17,10.33,4.0,7.5,67.5,49.17,46.0,73.98,79.61,14.94,60.76,19.17,31.0,57.86,22.44
141,Indian Wells Masters,2004,top2-8,6.0,2.85,67.33,39.81,30.15,16.19,2.56,3.89,3.63,3.59,72.0,40.78,26.3,14.56,4.52,8.22,77.48,61.85,43.71,62.31,75.73,11.24,58.83,12.19,10.82,55.61,32.12
142,Indian Wells Masters,2005,champion,6.67,1.33,60.0,36.83,28.33,14.0,1.67,2.67,3.5,3.83,69.33,38.5,24.33,13.17,5.17,9.0,74.17,55.17,47.08,65.59,76.92,13.73,60.42,17.7,5.11,57.34,22.88
143,Indian Wells Masters,2005,top2-8,5.21,2.08,64.08,38.17,29.79,15.0,3.58,4.67,3.79,2.58,67.92,39.71,25.92,12.42,4.21,7.75,74.38,57.62,45.08,57.89,78.05,12.78,57.89,13.86,22.34,56.35,37.6
144,Indian Wells Masters,2006,champion,4.17,1.17,65.5,40.83,31.5,15.33,1.5,2.17,2.5,2.0,66.83,42.83,26.0,12.33,3.67,7.0,75.33,57.0,42.39,62.52,77.15,16.44,62.14,10.76,16.69,56.93,23.66
145,Indian Wells Masters,2006,top2-8,4.92,1.96,68.46,41.81,30.62,16.04,2.92,4.0,3.04,3.08,71.77,42.12,27.81,13.04,5.27,8.88,77.58,62.65,43.77,61.81,73.24,7.21,60.19,16.21,13.65,55.32,31.06
146,Indian Wells Masters,2007,champion,4.67,2.33,56.5,38.0,29.83,10.67,2.5,3.0,6.0,1.33,58.83,33.67,23.17,11.67,3.5,6.83,64.5,50.83,41.76,43.77,78.5,9.69,57.68,11.3,32.09,55.93,30.52
147,Indian Wells Masters,2007,top2-8,7.2,1.56,63.56,37.72,29.0,14.8,2.48,3.48,3.92,1.92,66.2,38.8,25.48,12.64,4.6,8.0,71.88,57.88,43.68,64.75,76.88,11.21,57.28,11.15,13.76,55.39,30.31
148,Indian Wells Masters,2008,champion,5.33,1.5,61.0,39.0,29.0,12.83,2.33,3.83,2.67,2.17,67.67,35.17,22.83,14.33,4.83,8.67,72.33,56.33,45.27,66.62,74.36,9.45,58.32,14.23,5.13,56.22,30.64
149,Indian Wells Masters,2008,top2-8,5.56,1.52,76.0,45.56,33.89,16.3,3.37,5.37,4.93,2.93,78.81,47.04,30.85,14.89,5.15,9.11,83.26,71.56,42.88,53.0,74.39,8.81,53.55,6.68,6.23,53.78,37.09
150,Indian Wells Masters,2009,champion,1.83,1.5,59.67,38.0,28.17,12.83,3.17,4.17,3.67,2.17,69.33,41.83,26.33,11.67,5.83,9.83,72.33,56.67,45.5,33.27,74.13,11.18,59.21,16.77,16.71,56.07,29.79
151,Indian Wells Masters,2009,top2-8,6.38,2.08,66.92,43.0,33.5,13.31,2.85,4.12,5.15,2.88,71.23,42.0,28.81,13.73,3.31,6.35,75.5,62.65,41.16,55.33,77.91,9.31,55.64,8.67,17.04,54.65,39.35
152,Indian Wells Masters,2010,champion,14.5,1.83,78.83,46.17,37.33,16.33,4.5,5.67,4.83,2.33,72.5,47.0,31.0,14.17,3.67,6.33,81.0,70.33,38.28,75.01,80.85,14.89,50.0,-5.57,21.39,53.53,47.25
153,Indian Wells Masters,2010,top2-8,6.36,2.0,65.96,40.92,31.48,13.4,2.76,4.08,5.68,2.44,67.68,41.0,27.36,12.4,3.88,7.16,72.8,60.84,42.88,52.82,76.93,10.2,53.51,7.03,13.46,54.47,36.3
154,Indian Wells Masters,2011,champion,2.33,2.5,61.33,38.5,28.0,12.67,3.67,5.17,1.83,2.67,58.0,32.33,18.67,10.33,3.5,8.5,69.67,49.67,52.59,56.01,72.73,14.98,55.5,15.26,29.81,58.38,37.82
155,Indian Wells Masters,2011,top2-8,6.31,2.23,65.15,38.35,30.77,15.31,2.31,3.42,4.08,3.12,72.08,42.35,28.04,13.62,4.35,7.65,76.5,60.73,42.89,60.73,80.23,14.02,57.13,11.32,10.68,55.75,30.89
156,Indian Wells Masters,2012,champion,8.67,2.0,63.5,39.0,31.83,14.83,2.17,3.0,3.5,3.17,66.17,40.17,27.67,12.5,2.0,5.33,72.67,57.0,40.58,71.24,81.62,12.74,60.53,12.45,34.81,56.04,36.01
157,Indian Wells Masters,2012,top2-8,5.69,1.73,73.81,44.62,33.85,17.5,2.88,4.15,4.12,2.65,79.81,46.85,31.62,15.62,4.58,7.85,83.92,69.69,41.42,58.0,75.86,8.37,59.95,12.56,11.06,54.63,34.58
158,Indian Wells Masters,2013,champion,2.0,2.4,74.0,49.8,36.6,13.2,2.0,3.6,5.2,2.0,80.0,50.0,34.6,12.2,6.8,10.2,83.0,71.0,41.79,27.78,73.49,4.29,54.55,13.88,-11.11,53.9,26.09
159,Indian Wells Masters,2013,top2-8,5.69,2.15,68.92,40.42,30.96,15.04,3.27,4.69,3.38,3.38,71.77,42.31,27.19,12.85,4.62,8.54,77.73,62.96,44.84,62.73,76.6,12.34,52.77,9.15,15.62,55.25,35.45
160,Indian Wells Masters,2014,champion,5.67,2.5,72.17,49.17,38.33,12.17,2.0,3.17,5.5,2.5,84.0,52.0,35.0,14.67,6.17,9.5,84.83,71.33,41.04,50.76,77.95,10.64,52.91,7.07,-1.86,54.32,25.02
161,Indian Wells Masters,2014,top2-8,10.35,2.81,71.42,43.62,34.77,15.35,2.19,3.46,3.38,3.31,76.65,45.04,30.88,15.54,4.42,7.27,80.35,67.73,39.71,75.38,79.71,11.15,55.22,6.06,2.49,54.26,32.25
162,Indian Wells Masters,2015,champion,4.6,2.4,65.0,41.0,31.6,14.8,3.0,4.0,4.2,2.8,65.4,40.8,28.0,9.6,3.4,7.0,74.2,56.2,43.02,52.27,77.07,8.44,61.67,22.65,26.43,56.9,36.36
163,Indian Wells Masters,2015,top2-8,7.52,1.8,64.56,39.68,30.52,14.84,3.08,4.0,4.16,2.8,67.4,38.4,25.96,13.64,3.96,7.24,73.16,58.8,42.15,64.38,76.92,9.32,59.65,12.62,22.3,55.44,35.59
164,Indian Wells Masters,2016,champion,3.17,2.17,63.33,39.83,30.17,13.17,1.17,2.5,3.33,2.67,75.17,45.0,29.17,11.67,5.83,9.5,77.67,60.83,45.68,48.77,75.75,10.93,56.04,17.36,-14.57,56.08,20.83
165,Indian Wells Masters,2016,top2-8,5.48,2.64,70.44,44.2,33.12,14.08,3.12,4.76,4.88,3.76,72.92,43.32,28.84,13.12,4.24,7.88,78.16,65.2,43.4,52.9,74.93,8.36,53.66,9.34,11.74,54.52,37.66
166,Indian Wells Masters,2017,champion,6.2,1.8,56.6,33.0,26.8,15.2,0.6,0.8,3.0,3.4,63.2,36.2,25.6,12.4,1.6,4.4,67.2,52.6,41.05,67.39,81.21,10.49,64.41,18.48,38.64,56.09,15.38
167,Indian Wells Masters,2017,top2-8,6.46,2.46,69.42,42.88,32.12,15.75,2.62,3.88,4.46,3.5,72.79,44.58,30.79,12.88,4.58,7.5,77.0,65.21,40.62,59.16,74.91,5.84,59.34,13.68,6.46,54.15,34.09
168,Indian Wells Masters,2018,champion,5.5,1.17,73.67,47.67,37.33,15.17,2.67,3.67,5.0,2.33,82.33,49.83,33.67,16.5,6.67,9.67,84.67,71.33,41.42,52.38,78.31,10.74,58.35,7.58,3.77,54.28,27.51
169,Indian Wells Masters,2018,top2-8,8.56,2.48,71.72,44.04,33.68,15.76,2.92,4.32,4.24,3.12,72.84,43.0,29.2,14.36,3.84,7.28,78.72,65.84,41.21,66.88,76.48,8.57,56.94,8.82,14.84,54.45,37.24
170,Indian Wells Masters,2019,champion,2.8,1.4,74.6,53.2,40.8,12.8,3.6,4.4,5.4,2.4,73.8,45.8,32.2,14.2,2.2,5.0,81.0,67.4,39.47,34.15,76.69,6.38,59.81,9.1,37.82,54.58,46.81
171,Indian Wells Masters,2019,top2-8,6.48,2.2,62.8,37.8,28.8,14.88,2.84,3.96,4.68,3.16,66.4,40.56,26.8,11.84,4.36,7.56,71.44,57.76,42.44,58.06,76.19,10.12,59.52,13.7,14.05,55.29,34.38
172,Madrid Masters,2002,champion,5.5,2.0,73.5,49.75,38.75,16.0,0.25,1.0,13.25,2.25,83.0,46.0,35.75,16.25,2.75,5.25,85.75,70.75,39.42,29.33,77.89,0.17,67.37,23.45,-27.38,54.79,16.0
173,Madrid Masters,2002,top2-8,4.19,2.24,65.24,38.33,29.48,15.43,2.76,3.76,4.81,2.24,67.76,38.14,26.05,13.1,3.57,6.95,73.52,59.48,43.28,46.56,76.91,8.61,57.34,13.11,22.03,55.28,35.11
174,Madrid Masters,2003,champion,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Madrid Masters,2003,top2-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Madrid Masters,2004,champion,13.2,2.6,70.0,37.6,31.8,20.2,2.8,3.8,5.8,2.8,78.0,43.6,31.0,15.4,3.6,6.2,83.6,64.4,40.78,69.47,84.57,13.47,62.35,17.58,15.62,56.49,38.0
177,Madrid Masters,2004,top2-8,8.9,2.57,68.57,41.76,33.29,16.05,2.71,3.29,6.76,3.57,71.0,40.52,28.62,15.24,4.05,6.71,76.48,63.1,38.89,56.83,79.72,9.09,59.87,9.87,22.01,54.79,32.9
178,Madrid Masters,2005,champion,2.4,1.8,84.2,59.6,42.6,13.8,2.2,4.2,13.0,2.4,82.8,55.4,39.0,12.6,3.4,6.6,87.6,79.4,39.35,15.58,71.48,1.08,56.1,10.11,0.86,52.46,38.89
179,Madrid Masters,2005,top2-8,10.26,2.16,79.95,50.21,39.47,17.89,2.37,3.37,6.74,3.79,85.05,51.21,37.05,17.58,4.11,6.11,87.79,77.21,36.44,60.35,78.61,6.26,60.15,8.2,3.06,53.21,35.55
180,Madrid Masters,2006,champion,9.2,0.6,66.8,42.4,33.8,15.6,1.6,1.8,3.4,1.4,71.2,45.6,30.6,11.0,4.6,7.6,79.0,59.0,42.96,73.02,79.72,12.61,63.93,20.96,28.36,57.25,19.15
181,Madrid Masters,2006,top2-8,7.47,2.21,77.84,49.53,37.32,16.05,3.16,4.63,6.84,3.11,79.32,48.0,33.84,15.21,3.79,6.95,83.63,73.53,38.64,52.2,75.35,4.85,56.69,8.13,13.72,53.21,39.98
182,Madrid Masters,2007,champion,6.83,1.83,74.33,42.5,32.67,16.5,3.17,4.83,6.83,2.83,76.17,42.17,29.83,14.17,2.83,6.5,81.33,69.17,43.2,50.0,76.87,6.13,51.84,10.16,22.09,54.04,42.63
183,Madrid Masters,2007,top2-8,6.1,1.81,65.05,39.14,31.43,15.33,2.57,3.14,5.43,2.24,67.95,41.52,28.62,12.86,3.81,6.33,73.24,59.76,39.66,52.91,80.3,11.37,59.17,10.51,21.66,55.07,33.16
184,Madrid Masters,2008,champion,7.8,1.0,59.8,36.4,29.6,12.4,0.4,1.4,4.6,2.2,71.0,42.6,27.0,13.4,5.2,8.2,72.6,58.2,45.77,62.9,81.32,17.94,52.99,5.81,-34.84,55.5,14.58
185,Madrid Masters,2008,top2-8,7.48,1.62,73.24,43.71,34.67,17.57,3.38,4.33,6.76,3.05,73.14,44.43,32.81,13.86,3.38,5.81,78.71,67.67,36.63,52.53,79.32,5.47,59.5,11.22,19.88,53.77,42.7
186,Madrid Masters,2009,champion,9.0,1.4,66.4,39.0,32.0,15.6,2.2,2.6,3.6,2.8,63.0,40.2,27.4,11.4,2.6,5.6,71.8,57.6,38.6,71.43,82.05,13.89,56.93,6.93,38.19,55.49,31.71
187,Madrid Masters,2009,top2-8,3.82,1.76,72.59,46.47,33.88,14.65,3.12,4.29,5.12,2.12,72.0,44.88,29.53,13.18,4.35,7.53,77.82,66.76,42.06,42.73,72.91,7.11,56.09,7.49,14.96,53.82,36.29
188,Madrid Masters,2010,champion,1.0,1.2,62.4,44.0,32.0,10.6,2.8,4.0,6.2,2.0,74.0,43.8,29.4,12.6,3.6,7.4,74.6,61.8,42.85,13.89,72.73,5.61,57.61,15.89,21.35,54.69,35.09
189,Madrid Masters,2010,top2-8,4.74,1.26,62.78,41.22,30.3,12.09,3.39,4.7,3.65,1.65,70.52,43.7,26.83,11.78,5.65,9.17,74.3,59.0,46.75,56.5,73.51,12.11,56.08,12.16,10.52,55.74,33.89
190,Madrid Masters,2011,champion,4.4,1.2,62.4,40.0,30.8,12.6,1.8,3.4,3.8,1.0,68.8,44.2,27.8,10.8,4.8,8.8,73.6,57.6,44.17,53.66,77.0,14.1,56.25,12.35,-1.61,56.1,27.87
191,Madrid Masters,2011,top2-8,5.37,1.58,68.79,45.11,34.37,13.84,3.11,4.21,4.16,1.16,72.16,44.05,29.37,13.47,4.0,7.21,77.53,63.42,41.8,56.35,76.19,9.52,58.45,10.53,18.39,55.01,36.87
192,Madrid Masters,2012,champion,9.0,1.4,73.2,49.8,39.6,12.6,3.2,4.0,8.2,3.2,73.4,41.6,30.6,16.4,3.8,6.4,78.6,68.0,37.2,52.33,79.52,5.96,53.85,2.28,20.63,53.62,38.46
193,Madrid Masters,2012,top2-8,8.05,2.14,74.95,47.52,36.62,14.9,3.05,4.48,5.33,2.62,76.43,44.9,30.48,15.62,3.57,6.67,81.86,69.52,40.77,60.16,77.06,9.18,54.32,4.78,14.56,54.08,40.18
194,Madrid Masters,2013,champion,2.0,1.0,58.2,41.4,30.6,9.6,2.4,3.6,2.4,3.2,64.0,36.4,22.8,11.4,5.4,9.6,70.0,52.2,46.18,45.45,73.91,11.27,57.14,15.84,10.42,57.28,27.27
195,Madrid Masters,2013,top2-8,4.24,1.71,77.52,51.24,37.67,14.48,3.67,5.0,5.14,1.52,75.24,49.33,33.62,12.81,4.48,7.57,80.95,71.81,38.31,45.2,73.52,5.37,55.1,5.66,14.22,52.99,39.78
196,Madrid Masters,2014,champion,3.0,1.0,51.0,38.4,27.4,7.2,2.0,3.4,0.8,1.2,57.4,39.0,22.4,6.6,5.2,9.6,63.0,45.4,51.14,78.95,71.35,13.91,57.14,21.27,4.65,58.12,26.15
197,Madrid Masters,2014,top2-8,5.36,1.5,74.59,48.45,36.18,14.95,4.18,5.27,5.59,1.64,71.32,46.32,31.82,12.45,4.05,6.86,78.18,67.73,38.53,48.95,74.67,5.97,57.19,7.39,20.28,53.58,43.45
198,Madrid Masters,2015,champion,2.8,1.8,59.4,38.8,29.6,11.6,3.0,3.8,3.0,1.6,59.2,38.2,24.4,8.0,3.4,7.4,68.0,50.6,46.44,48.28,76.29,12.42,56.31,18.21,33.0,57.34,33.93
199,Madrid Masters,2015,top2-8,6.6,1.1,68.4,45.0,35.1,13.95,2.35,3.2,5.65,2.65,71.1,44.9,31.1,13.05,3.3,6.25,76.0,63.5,38.87,53.88,78.0,8.73,59.62,9.81,20.64,54.48,33.86
200,Madrid Masters,2016,champion,2.0,2.4,63.4,42.4,32.8,11.8,3.2,3.8,4.0,1.2,64.8,41.6,26.4,10.0,4.0,7.2,73.0,55.2,44.65,33.33,77.36,13.9,56.19,13.09,28.65,56.94,34.55
201,Madrid Masters,2016,top2-8,5.76,1.0,72.81,49.0,37.24,13.9,3.48,4.33,4.38,1.71,72.1,46.71,32.05,12.57,3.62,6.62,78.62,66.29,38.61,56.8,76.0,7.39,58.38,8.87,25.69,54.25,39.54
202,Madrid Masters,2017,champion,3.2,2.2,74.4,49.8,36.2,13.6,4.8,6.2,3.2,2.6,79.2,53.8,33.4,10.8,6.6,10.0,84.8,68.8,45.0,50.0,72.69,10.61,55.28,12.76,11.42,55.21,38.27
203,Madrid Masters,2017,top2-8,4.81,1.43,70.57,46.71,34.24,14.19,2.76,4.19,4.76,2.43,74.38,45.52,31.9,12.67,4.62,7.95,78.24,66.71,40.55,50.26,73.3,3.22,59.47,15.57,7.76,53.98,34.51
204,Madrid Masters,2018,champion,3.0,0.2,48.6,32.6,27.4,12.2,0.2,0.2,2.4,0.6,60.8,43.8,27.8,7.8,3.0,5.8,64.8,44.6,41.74,55.56,84.05,20.58,76.25,30.37,48.28,59.23,3.33
205,Madrid Masters,2018,top2-8,8.62,1.95,75.0,48.57,37.43,15.62,2.48,3.62,4.9,2.14,76.38,49.71,35.1,13.52,3.33,5.95,80.81,70.57,37.7,63.76,77.06,6.45,59.1,8.41,12.54,53.38,37.83
206,Madrid Masters,2019,champion,4.0,1.25,64.25,42.75,34.0,12.0,3.0,3.75,2.5,1.25,63.5,38.0,24.25,13.75,1.25,3.75,71.5,56.25,40.08,61.54,79.53,15.71,55.81,1.89,46.67,55.97,50.0
207,Madrid Masters,2019,top2-8,5.25,2.3,69.35,44.15,33.8,14.5,2.95,4.2,3.95,2.5,72.35,47.85,31.9,11.5,3.95,7.15,77.25,64.45,40.73,57.07,76.56,9.89,57.54,10.6,15.0,54.52,37.0
