,tourney_name,year,player_tier,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,total_points,l_total_points,return_points_won%,ace%,1stSvWin%,1stSvWin%_difference,2ndSvWin%,2ndSvWin%_difference,bpSaved%_difference,points_percentage,bpFaced%
24,Australian Open,2013,champion,7.71,1.86,99.29,65.0,51.14,22.57,3.29,4.43,6.71,3.43,115.71,73.14,49.57,18.57,6.0,11.14,121.29,93.71,42.57,53.47,78.68,10.91,65.82,22.2,20.41,56.41,28.45
25,Australian Open,2013,top2-8,11.09,2.28,98.72,61.81,48.5,20.56,3.78,5.31,7.12,3.12,103.41,64.12,42.69,16.72,6.97,12.41,113.06,89.06,43.66,60.9,78.47,11.89,55.7,13.14,15.03,55.94,29.97
26,Australian Open,2014,champion,13.5,3.17,112.83,65.17,53.33,25.17,2.83,4.5,5.17,2.33,115.0,78.0,53.83,18.67,6.17,10.0,121.0,106.83,38.6,72.31,81.83,12.82,52.81,2.35,1.19,53.11,31.03
27,Australian Open,2014,top2-8,7.69,2.41,88.19,56.06,44.69,19.03,2.31,3.5,6.75,3.78,101.81,61.78,39.59,17.62,6.75,11.84,108.31,81.69,43.98,53.25,79.72,15.64,59.23,15.21,8.99,57.01,22.82
28,Australian Open,2015,champion,8.71,2.14,95.43,63.0,48.29,21.0,2.86,4.43,10.71,2.86,110.29,67.29,46.0,18.71,7.86,12.86,114.86,90.86,41.72,44.85,76.65,8.29,64.75,21.24,3.44,55.83,25.62
29,Australian Open,2015,top2-8,13.69,2.91,102.41,65.91,52.03,20.91,3.22,4.59,8.81,4.06,110.22,69.59,47.28,18.81,6.47,11.06,117.06,95.56,40.53,60.84,78.94,11.0,57.29,10.99,11.65,55.06,29.33
30,Australian Open,2016,champion,8.57,1.71,102.43,66.0,49.71,22.0,4.29,5.86,6.71,3.14,109.29,67.71,45.43,16.14,6.57,11.57,119.43,92.29,43.98,56.09,75.32,8.23,60.39,21.57,16.43,56.41,33.62
31,Australian Open,2016,top2-8,11.16,2.91,92.94,58.19,46.62,20.28,2.72,4.0,6.94,4.19,103.16,63.31,42.41,17.62,6.56,11.38,110.03,86.06,42.73,61.66,80.12,13.13,58.36,14.14,10.36,56.11,26.01
32,Australian Open,2017,champion,15.43,2.57,113.29,71.29,55.57,23.0,5.0,7.29,6.14,2.43,120.14,81.29,51.71,20.57,6.71,12.0,126.43,107.0,39.91,71.53,77.95,14.34,54.76,1.81,12.67,54.16,37.79
33,Australian Open,2017,top2-8,12.75,3.53,112.06,71.78,55.47,22.81,4.97,6.84,9.62,4.53,118.88,75.41,51.25,20.06,7.16,11.97,125.84,105.09,40.67,57.0,77.28,9.32,56.63,10.48,12.84,54.49,36.36
34,Australian Open,2018,champion,13.57,2.43,88.57,54.29,44.29,20.71,2.29,3.14,5.43,4.0,97.57,56.14,38.57,20.14,6.43,10.57,103.86,82.29,40.76,71.42,81.58,12.88,60.41,11.8,12.1,55.79,22.9
35,Australian Open,2018,top2-8,11.5,3.34,109.69,72.69,56.31,19.53,4.91,6.84,9.53,4.41,115.81,72.59,48.84,19.47,7.5,12.56,123.34,102.16,42.35,54.68,77.47,10.19,52.78,7.73,12.07,54.7,35.26
36,Australian Open,2019,champion,6.43,1.86,74.14,50.86,39.57,15.43,2.0,3.14,6.14,3.14,93.29,57.86,36.71,13.43,6.0,12.0,98.14,69.29,47.17,51.15,77.8,14.35,66.28,28.37,13.69,58.62,20.74
37,Australian Open,2019,top2-8,13.34,2.66,119.38,79.31,62.47,23.16,3.41,4.94,13.78,4.12,126.62,81.12,58.16,22.44,6.72,11.0,131.66,114.34,37.36,49.19,78.77,7.07,57.8,8.48,7.94,53.52,30.99
38,Australian Open,2020,champion,11.29,2.57,91.57,62.57,50.43,16.0,2.57,4.29,10.0,4.29,107.71,66.14,44.57,17.57,5.86,10.43,112.0,87.29,42.88,53.03,80.6,13.21,55.17,12.9,3.73,56.2,29.14
39,Australian Open,2020,top2-8,12.94,2.53,104.22,69.28,54.97,19.62,3.78,5.41,8.47,3.12,110.94,72.5,48.97,18.84,6.47,10.81,117.72,97.44,39.95,60.44,79.34,11.8,56.15,7.14,10.02,54.71,33.35
40,Canada Masters,2001,champion,5.5,2.33,77.33,44.83,32.67,19.33,4.0,5.17,6.83,3.67,76.83,43.5,30.33,15.17,2.83,6.0,83.33,70.83,42.8,44.61,72.88,3.16,59.48,13.97,30.2,54.05,46.28
41,Canada Masters,2001,top2-8,6.36,3.88,77.6,44.8,33.44,18.12,3.52,5.16,5.76,4.28,76.52,42.48,28.64,15.76,4.88,8.6,83.68,70.44,42.6,52.48,74.64,7.22,55.24,8.94,11.48,54.3,37.5
42,Canada Masters,2002,champion,8.17,1.33,63.5,37.5,29.33,16.67,1.5,2.33,6.0,3.83,66.33,40.33,28.33,11.83,2.67,5.67,72.17,57.67,40.78,57.66,78.21,7.96,64.12,18.62,17.29,55.58,29.12
43,Canada Masters,2002,top2-8,8.32,2.52,69.88,42.16,32.84,15.24,3.32,4.6,5.12,2.72,74.04,42.0,29.36,14.8,4.88,8.08,77.96,65.96,41.14,61.9,77.89,7.99,54.98,8.79,11.77,54.17,36.28
44,Canada Masters,2003,champion,6.83,2.0,62.67,35.17,27.67,16.5,1.67,2.83,4.17,5.67,72.0,35.0,25.5,16.17,4.0,7.5,74.5,60.17,43.32,62.09,78.68,5.82,60.0,16.3,5.68,55.32,27.4
45,Canada Masters,2003,top2-8,6.04,2.48,63.96,37.4,29.36,15.24,2.4,3.68,4.56,3.4,72.12,41.36,27.56,14.36,4.36,7.56,74.8,61.28,42.69,56.98,78.5,11.87,57.38,10.7,7.55,54.97,32.74
46,Canada Masters,2004,champion,8.83,1.33,68.33,44.5,35.17,14.67,2.5,3.0,4.33,1.33,74.83,45.5,30.17,15.5,5.33,7.67,79.0,64.17,39.04,67.1,79.03,12.72,61.56,8.71,13.84,55.18,28.12
47,Canada Masters,2004,top2-8,8.64,2.08,70.72,42.24,34.08,15.32,3.0,4.2,7.76,2.64,72.72,43.92,31.0,14.0,3.8,6.6,77.12,66.32,39.32,52.68,80.68,10.1,53.79,5.18,13.85,53.76,38.89
48,Canada Masters,2005,champion,3.0,1.33,64.83,43.83,33.67,13.17,2.0,2.33,4.17,2.17,67.67,39.83,26.0,13.67,4.5,7.5,74.83,57.67,42.63,41.84,76.82,11.54,62.71,13.61,25.84,56.48,23.7
49,Canada Masters,2005,top2-8,6.44,3.16,73.12,43.4,33.32,16.92,3.2,4.64,5.96,3.12,75.56,44.16,30.12,15.04,4.36,7.84,80.64,68.04,40.64,51.94,76.77,8.56,56.93,9.03,13.36,54.24,37.18
50,Canada Masters,2006,champion,6.0,2.17,79.17,48.33,35.5,18.67,5.0,6.33,2.17,1.83,79.17,46.17,29.67,17.5,5.67,9.17,86.17,72.17,40.8,73.44,73.45,9.19,60.54,7.51,17.16,54.42,40.84
51,Canada Masters,2006,top2-8,3.88,3.08,70.96,41.04,30.68,16.64,3.44,5.04,4.04,2.64,72.92,41.96,27.16,14.56,4.28,8.04,78.52,65.36,43.31,48.99,74.76,10.03,55.61,8.58,15.02,54.57,38.53
52,Canada Masters,2007,champion,8.0,2.4,67.8,46.2,36.2,12.4,3.4,4.6,6.2,1.8,69.0,45.0,31.8,11.2,3.2,5.8,74.6,62.2,38.39,56.34,78.35,7.68,57.41,10.74,18.74,54.53,44.23
53,Canada Masters,2007,top2-8,8.35,1.75,74.0,47.05,37.6,14.0,3.5,4.7,5.45,2.8,78.7,45.55,30.9,16.45,4.05,7.25,82.95,69.75,40.62,60.51,79.91,12.07,51.95,2.33,18.61,54.32,39.33
54,Canada Masters,2008,champion,1.8,1.6,69.8,51.4,36.2,11.8,2.8,3.6,5.0,2.6,67.2,36.8,25.0,13.4,2.8,6.4,76.8,60.2,42.74,26.47,70.43,2.5,64.13,20.05,34.03,56.06,36.0
55,Canada Masters,2008,top2-8,5.95,1.55,72.82,41.5,31.77,16.55,3.45,5.27,4.82,2.36,75.95,45.68,29.95,14.41,4.73,8.45,79.91,68.86,42.18,55.25,76.55,10.99,52.84,5.24,9.48,53.71,38.41
56,Canada Masters,2009,champion,9.4,1.8,66.0,34.4,27.4,19.4,3.6,4.4,5.4,2.4,78.4,50.0,31.8,12.8,4.8,8.2,80.6,63.8,43.78,63.51,79.65,16.05,61.39,16.32,23.28,55.82,34.92
57,Canada Masters,2009,top2-8,7.78,2.22,70.94,46.11,36.61,13.83,3.22,4.22,5.72,2.44,72.72,42.17,30.56,15.39,3.83,6.11,77.22,66.44,38.0,57.63,79.4,6.93,55.7,5.32,13.62,53.75,40.85
58,Canada Masters,2010,champion,6.2,2.4,58.6,31.4,24.6,14.4,2.4,4.2,2.6,3.0,66.6,40.4,26.0,9.8,5.8,10.0,69.8,55.4,46.38,70.45,78.34,13.98,52.94,15.54,-0.86,55.75,29.58
59,Canada Masters,2010,top2-8,6.29,2.67,75.43,47.62,35.14,15.29,3.48,5.0,5.86,2.9,79.67,47.62,31.86,14.76,5.52,9.0,83.48,71.62,41.84,51.77,73.79,6.89,54.98,8.93,8.27,53.82,35.71
60,Canada Masters,2011,champion,1.8,1.2,63.4,43.2,30.0,11.4,3.6,4.8,4.4,3.2,57.0,34.6,21.2,9.4,4.8,8.6,67.8,52.6,46.8,29.03,69.44,8.17,56.44,14.48,19.19,56.31,35.82
61,Canada Masters,2011,top2-8,6.76,2.86,73.1,40.86,32.05,17.81,2.9,4.19,4.95,4.19,71.81,40.9,28.76,13.76,4.86,8.0,79.14,65.76,40.84,57.73,78.44,8.12,55.24,10.72,8.46,54.62,34.37
62,Canada Masters,2012,champion,4.8,1.8,64.2,38.4,31.0,15.2,5.0,5.2,3.0,2.4,64.8,36.6,24.4,13.8,3.8,6.4,72.8,56.2,41.19,61.54,80.73,14.06,58.91,9.97,36.78,56.43,44.83
63,Canada Masters,2012,top2-8,7.68,2.95,66.0,39.63,32.11,14.89,2.21,3.21,3.74,2.53,71.0,39.42,26.58,15.63,4.79,8.05,75.79,61.21,41.18,67.25,81.02,13.59,56.47,6.98,9.35,55.32,28.51
64,Canada Masters,2013,champion,4.4,1.2,61.2,42.2,31.0,12.2,2.8,3.6,5.0,6.2,67.6,38.0,25.0,13.8,3.2,6.6,72.0,56.8,44.05,46.81,73.46,7.67,64.21,17.59,29.3,55.9,35.29
65,Canada Masters,2013,top2-8,7.17,3.22,72.3,44.17,32.48,14.87,4.09,5.96,4.83,4.39,71.3,41.35,27.7,14.09,3.78,7.26,76.87,66.74,44.13,59.75,73.53,6.54,52.86,5.81,16.55,53.53,45.08
66,Canada Masters,2014,champion,12.83,2.5,68.0,38.67,33.0,17.0,2.17,2.67,4.83,3.17,73.0,43.0,31.17,15.0,3.67,6.0,76.83,64.17,37.48,72.65,85.34,12.85,57.96,7.96,20.1,54.49,30.8
67,Canada Masters,2014,top2-8,9.53,2.84,80.05,48.79,38.79,17.05,3.84,5.05,5.0,3.26,81.84,49.37,35.37,16.37,3.63,6.53,85.95,75.95,37.78,65.59,79.5,7.86,54.54,4.12,20.45,53.09,43.61
68,Canada Masters,2015,champion,5.8,2.2,70.2,43.0,31.6,13.8,3.8,5.4,2.8,2.6,70.6,41.6,27.0,11.2,6.2,10.2,77.8,63.0,47.24,67.44,73.49,8.59,50.74,12.12,9.59,55.26,34.62
69,Canada Masters,2015,top2-8,9.23,2.5,73.55,48.59,39.09,14.32,2.09,3.18,7.09,3.32,79.23,49.14,34.86,14.77,3.18,6.05,83.0,69.77,38.5,56.56,80.45,9.51,57.37,8.28,13.16,54.33,34.45
70,Canada Masters,2016,champion,3.0,2.8,62.8,38.8,30.8,13.2,3.8,5.0,6.0,2.8,65.4,35.0,24.2,13.0,2.6,5.8,72.2,56.0,43.66,33.33,79.38,10.24,55.0,12.24,31.17,56.32,46.3
71,Canada Masters,2016,top2-8,8.86,2.95,68.19,41.05,31.71,15.48,2.9,4.05,5.57,3.1,68.38,39.95,27.81,13.1,3.86,6.86,74.67,61.9,40.78,61.4,77.25,7.64,57.04,10.96,15.33,54.68,37.12
72,Canada Masters,2017,champion,7.2,4.0,76.2,48.2,36.4,15.8,4.8,5.6,4.2,4.4,71.8,43.4,30.2,14.0,2.6,5.2,79.8,68.2,38.41,63.16,75.52,5.93,56.43,7.13,35.71,53.92,51.85
73,Canada Masters,2017,top2-8,7.54,3.79,75.71,45.54,34.25,16.25,3.83,5.62,4.71,4.21,78.17,45.04,30.96,14.75,3.96,7.54,82.96,70.92,42.44,61.55,75.21,6.47,53.86,9.34,15.63,53.91,42.71
74,Canada Masters,2018,champion,2.4,1.6,68.4,42.2,31.0,14.4,3.6,5.6,4.8,1.4,71.6,41.2,29.2,13.2,3.4,6.8,74.6,65.4,41.93,33.33,73.46,2.59,54.96,11.54,14.29,53.29,45.16
75,Canada Masters,2018,top2-8,9.48,2.67,71.62,42.71,34.33,16.81,2.43,3.43,5.9,3.48,71.33,42.29,29.95,14.67,3.29,6.14,77.86,65.1,38.63,61.64,80.38,9.56,58.15,7.63,17.27,54.46,35.84
76,Canada Masters,2019,champion,5.25,1.25,61.5,38.25,31.25,11.75,1.5,2.75,6.0,2.5,61.0,41.0,27.75,7.75,4.25,7.75,68.5,54.0,42.33,46.67,81.7,14.02,50.54,11.79,-0.29,55.92,26.19
77,Canada Masters,2019,top2-8,6.95,3.3,70.8,44.95,34.4,13.75,3.15,4.55,4.2,3.0,75.35,45.6,30.45,13.65,4.8,8.5,79.4,66.75,42.19,62.33,76.53,9.75,53.19,7.31,12.76,54.33,34.87
78,Cincinnati Masters,2001,champion,11.67,2.0,64.67,34.67,29.0,18.17,2.5,3.33,7.0,4.33,69.67,36.67,28.83,14.83,3.5,6.33,73.17,61.17,38.85,62.51,83.65,5.03,60.57,15.63,19.79,54.47,34.47
79,Cincinnati Masters,2001,top2-8,7.72,3.16,66.48,38.16,30.2,16.44,2.96,4.16,5.0,4.56,74.68,39.6,27.56,15.24,5.04,8.48,78.52,62.64,43.57,60.69,79.14,9.54,58.05,14.61,11.72,55.62,32.91
80,Cincinnati Masters,2002,champion,4.17,1.83,61.67,36.83,28.5,14.0,4.0,5.0,3.33,2.83,65.17,36.33,23.83,13.33,3.33,6.67,70.5,56.33,42.63,55.6,77.38,11.79,56.36,10.14,30.07,55.59,42.84
