,tourney_name,Era,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,loser_total_points,l_1stSv%,l_1stSvWin%,l_2ndSvWin%,l_SvGms,points_difference,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%
32,Paris Masters,2001-2005,7.62,2.28,69.55,41.91,33.28,15.75,2.42,3.43,77.46,60.1,79.99,58.18,11.37,6.45,2.82,72.07,41.01,29.22,14.42,3.54,6.54,64.15,57.14,70.82,45.52,11.18,13.31,2.95,9.17,12.66,54.06,34.49
33,Paris Masters,2006-2010,7.68,1.78,70.49,44.21,34.12,14.3,3.23,4.46,77.37,62.73,78.57,55.71,11.34,5.79,2.42,72.13,43.43,30.14,13.04,4.15,7.43,65.25,60.4,68.16,44.68,11.22,12.11,2.32,10.4,11.03,56.86,37.44
34,Paris Masters,2011-2015,7.72,2.19,71.1,43.97,34.46,15.32,2.75,3.78,78.44,61.88,79.37,57.7,11.53,5.88,2.88,72.86,43.34,30.62,13.58,3.96,6.88,65.52,58.96,70,45.38,11.2,12.92,2.93,9.37,12.32,56.72,35.58
35,Paris Masters,2016-2020,8.21,2.27,70.56,44.77,35.37,14.46,2.7,3.75,77.99,63.25,79.74,57.37,11.48,6.27,2.63,72.67,43.83,30.91,13.61,3.47,6.47,65.24,59.84,69.2,46.46,11.27,12.75,3.41,10.54,10.91,56.12,36.71
36,Roland Garros,2001-2005,6.22,3.45,107.81,64.1,45.48,23.68,5.74,8.93,121.66,59.14,72.25,55.36,17.13,4.3,5.22,115.48,65.57,41.06,21.94,8.88,15.54,101.64,56.98,62.24,42.98,17.1,20.02,2.15,10.01,12.39,58.88,36.47
37,Roland Garros,2006-2010,6.05,2.33,98.75,63.35,46.28,20.1,4.42,6.72,113.94,64.17,74.22,57.83,16.18,4.02,3.29,106.66,65.35,40.07,19.03,7.04,13.01,91.48,61.2,60.66,45.34,15.95,22.46,2.96,13.56,12.5,59.27,33.88
38,Roland Garros,2011-2015,6.43,2.53,98.78,63.18,47.21,20.35,4.18,6.26,114.75,64.18,76.04,58.39,16.3,4.48,3.01,106.37,65.62,40.72,18.47,6.98,12.94,90.4,61.45,60.91,44.19,16.05,24.35,2.73,15.14,14.2,58.92,32.48
39,Roland Garros,2016-2020,6.17,2.83,99.99,62.88,46.88,21.24,4.35,6.43,115.11,62.84,75.55,58.35,16.42,4.76,3.58,106.92,66.04,41.98,17.95,7.49,13.36,91.8,61.67,62.78,43.21,15.97,23.31,1.17,12.77,15.14,56.62,32.43
40,Rome Masters,2001-2005,3.69,2,68.6,42.28,30.59,14.5,3.32,5.1,77.64,61.27,73.72,56.06,11,3.3,3.07,72.18,42.01,26.72,12.9,4.79,9,63.14,58.29,63.02,42.05,10.88,14.5,2.98,10.7,14.02,52.69,36.17
41,Rome Masters,2006-2010,3.09,2.23,69.97,44.84,31.96,13.7,3.57,5.35,78.56,63.73,73.01,56.15,11,2.67,2.39,73.02,45.18,28.12,12,4.85,9.12,64.43,61.06,60.72,41.65,10.96,14.13,2.66,12.29,14.49,53.5,36.93
42,Rome Masters,2011-2015,3.97,1.44,68.55,45.01,32.8,13.27,3.16,4.65,76.29,66.17,73.97,59.02,10.97,3.57,2.02,69.92,44.57,28.4,11.31,4.24,7.99,62.17,63.93,62.64,43.59,10.7,14.11,2.24,11.33,15.43,52.58,36.8
