group,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,w_1stRcvWin%,w_2ndRcvWin%,points_percentage,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%,bpSaved%_difference
Other Winners,6.57,3.43,108.43,70.0,49.29,20.43,6.29,9.57,123.86,64.13,72.34,54.18,17.29,39.13,57.14,56.17,7.17,11.48,11.32,48.62,33.93,18.88
Rafael Nadal,3.54,1.69,103.92,74.85,52.69,16.0,6.46,8.77,116.46,71.55,71.26,55.87,16.31,38.47,57.8,56.11,9.02,9.73,13.66,41.36,35.69,18.88
